Name,Description,Data Type,Range of Values,Percent of Missing Data
uuid,IDs made by combining puuid and match id for SQL data base,Nominal,ids,0
matchId,Match ID provided from riot API,Nominal,ids,0
participants,Gives a list of the puuids for each player in a match,Nominal,ids,0
puuid,"""Player Universally Unique IDentifiers"" riots way of identifiying every player",Nominal,ids,0
endOfGameResult,Shows if the game was completed ,Nominal,['GameComplete'],0
gameCreation,Time that the game was created in ms,Ratio,"(1736954654157, 1738621860288)",0
gameDuration,How long the game lasted in seconds,Ratio,"(100, 3193)",0
gameEndTimestamp,Time stamp for when the game ended in ms,Ratio,"(1736955584155, 1738623526690)",0
gameId,ID for each game,Ratio,"(5207304788, 5221759288)",0
patch,Patch the game was played on,Nominal,"['15.2.652.1536', '15.1.649.4112', '15.2.650.9216']",0
riotIdGameName,Name of the riot account of the player,Nominal,ids,0
riotIdTagline,Tagline of the player,Nominal,ids,0
summonerName,League of Legends in game name,Nominal,ids,8.87
kills,Number of kills player had,Ratio,"(0, 30)",0
deaths,Number of deaths player had,Ratio,"(0, 18)",0
assists,Number of assists player had,Ratio,"(0, 42)",0
firstBloodKill,Checks to see if player got first blood,Nominal,"(False, True)",0
firstBloodAssist,Checks to see if player assisted in getting the first blood,Nominal,"(False, True)",0
doubleKills,How many double kills the player got,Ratio,"(0, 8)",0
tripleKills,How many triple kills the player got,Ratio,"(0, 4)",0
quadraKills,How many quadra kills the player got,Ratio,"(0, 2)",0
pentaKills,How many penta kills the player got,Ratio,"(0, 1)",0
unrealKills,How many unreal kills the player got,Ratio,"(0, 0)",0
largestMultiKill,"Largest multi kill (penta, quadra, etc.) player got that game",Ratio,"(0, 5)",0
killingSprees,How many times player killed three champions in a row without dying,Ratio,"(0, 8)",0
largestKillingSpree,How many champions player killed before dying,Ratio,"(0, 22)",0
teamKills,Total number of kills player team has,Ratio,"(0, 72)",0
timePlayed,Total amount of time played in seconds,Ratio,"(100, 3193)",0
longestTimeSpentLiving,Longest time spent alive in seconds,Ratio,"(0, 2407)",0
totalTimeSpentDead,Total amount of time spent dead in seconds,Ratio,"(0, 647)",0
perctTimeDead,Percentage of time dead in match,Ratio,"(0.0, 27.8)",0
cs,Creep Score,Ratio,"(0, 456)",0
