Feature,Importance
turretsLost,0.4919465742629955
teamKills,0.24549804607744866
inhibitorsLost,0.13952659295881162
inhibitorTakedowns,0.05092310745824077
turretTakedowns,0.02175776090129856
dragon_kills,0.018697411121508807
baron_kills,0.0130520636979264
deaths,0.001635380695559791
perctTimeDead,0.0011670194446753387
itemsPurchased,0.0008458487210777787
atakhan_killed_true,0.0006107730061032237
cs,0.000528573863455946
atakhan_killed_False,0.00047559188841573235
champExperience,0.00046537430119852105
voidGrubs_kills,0.0004503705774961244
damageDealtToTurrets,0.0004435901607044809
totalHeal,0.00040636491431525696
totalDamageDealt,0.0003809902604817827
blue_champ1_Galio,0.0003723714556168318
red_champ3_TahmKench,0.0003428345583940615
goldSpent,0.0003211093781480243
timePlayed,0.0003152112930168806
timeCCingOthers,0.00028758881945833894
riftHerald_kills,0.00028459676143257625
blue_champ1_Nunu,0.00027616128053958194
damageSelfMitigated,0.00026062215119181836
item3_Aether Wisp,0.00025227206249568945
red_champ4_Tryndamere,0.00023721781447363571
OMWPing,0.00022942631650587372
gameDuration,0.0002276525984363671
blue_champ2_Nocturne,0.00022475794740064867
physicalDamageDealt,0.00021556733741622116
red_champ5_Vayne,0.00019189758974741527
magicDamageDealtToChampions,0.00018736869669763961
red_champ4_Chogath,0.00018092648976236593
blue_champ4_Nasus,0.00016389242149525676
blue_champ3_Orianna,0.00016300964081665238
totalDamageDealtToChampions,0.00015981034603601186
item2_Total Biscuit of Everlasting Will,0.00015733029402797218
blue_champ4_Teemo,0.00015689228055591162
red_champ3_Tryndamere,0.00013717528430223322
item0_Aegis of the Legion,0.00013699945395012676
item2_Health Potion,0.0001327204297016606
killingSprees,0.00013233166380667322
red_champ1_Aatrox,0.00012811841205494538
inhibitorKills,0.00012140685457666449
item4_Locket of the Iron Solari,0.0001188137315694455
red_champ3_Heimerdinger,0.00011794617111829928
blue_champ5_Kayle,0.0001129708881436195
blue_champ2_Teemo,0.00011238107309199665
physicalDamageTaken,0.00011184703185620851
trueDamageDealtToChampions,0.00010341114041519201
red_champ3_Shen,0.00010272911738108152
blue_champ4_Diana,0.00010174670964910035
trueDamageTaken,0.00010073948669376286
blue_champ4_Zyra,9.798921436112148e-05
damageDealtToObjectives,9.733649964575201e-05
red_champ4_Nilah,9.557470875269246e-05
red_champ4_MasterYi,9.513229002594183e-05
assists,9.394965247296805e-05
red_champ4_Jhin,9.146843908268499e-05
blue_champ2_Urgot,9.142060562249648e-05
blue_champ1_Zoe,8.832729591577837e-05
blue_champ1_Ambessa,8.633170733114122e-05
red_champ4_Taliyah,8.603734712355153e-05
